<<<<<<< HEAD
1743088643323269 0
1743088643323894 0
1743088643324517 0
1743088643325142 0
1743088643325767 0
1743088643326392 0
1743088643327017 0
1743088643327643 0
1743088643328268 0
1743088643328892 0
1743088643329518 0
1743088643330142 0
1743088643330767 0
1743088643331393 0
1743088643332027 0
1743088643332643 0
1743088643333267 0
1743088643333892 0
1743088643334518 0
1743088643335142 0
1743088643335769 0
1743088643336393 0
1743088643337017 0
1743088643337642 0
1743088643338268 0
1743088643338892 0
1743088643339518 0
1743088643340142 0
1743088643340767 0
1743088643341393 0
1743088643342017 0
1743088643342643 0
1743088643343268 0
1743088643343893 0
1743088643344517 0
1743088643345142 0
1743088643345767 0
1743088643346393 0
1743088643347017 0
1743088643347642 0
1743088643348269 0
1743088643348892 0
1743088643349518 0
1743088643350143 0
1743088643350767 0
1743088643351393 0
1743088643352021 0
1743088643352643 0
1743088643353268 0
1743088643353892 0
1743088643354518 0
1743088643355143 0
1743088643355768 0
1743088643356392 0
1743088643357017 0
1743088643357643 0
1743088643358268 -1
1743088643358892 0
1743088643359518 0
1743088643360143 0
1743088643360767 0
1743088643361392 0
1743088643362018 0
1743088643362642 0
1743088643363268 0
1743088643363893 0
1743088643364517 0
1743088643365143 0
1743088643365767 0
1743088643366392 0
1743088643367018 0
1743088643367642 0
1743088643368269 0
1743088643368893 0
1743088643369517 0
1743088643370143 0
1743088643370767 0
1743088643371392 0
1743088643372023 0
1743088643372642 0
1743088643373268 0
1743088643373893 0
1743088643374517 0
1743088643375143 0
1743088643375768 0
1743088643376392 0
1743088643377018 0
1743088643377642 0
1743088643378267 0
1743088643378893 0
1743088643379517 0
1743088643380142 0
1743088643380768 0
1743088643381392 0
1743088643382018 0
1743088643382642 0
1743088643383267 0
1743088643383893 0
1743088643384517 0
1743088643385143 0
1743088643385768 0
1743088643386392 0
1743088643387017 0
1743088643387642 0
1743088643388268 0
1743088643388893 0
1743088643389517 0
1743088643390142 0
1743088643390768 0
1743088643391392 0
1743088643392022 0
1743088643392643 0
1743088643393267 0
1743088643393893 0
1743088643394517 0
1743088643395143 0
1743088643395769 0
1743088643396391 0
1743088643397017 0
1743088643397643 0
1743088643398267 0
1743088643398892 0
1743088643399518 0
1743088643400142 0
1743088643400768 0
1743088643401392 0
1743088643402017 0
1743088643402643 0
1743088643403267 0
1743088643403893 0
1743088643404517 0
1743088643405142 0
1743088643405768 0
1743088643406392 0
1743088643407018 0
1743088643407643 0
1743088643408268 0
1743088643408893 0
1743088643409518 0
1743088643410142 0
1743088643410767 0
1743088643411393 0
1743088643412022 0
1743088643412643 0
1743088643413267 0
1743088643413892 0
1743088643414518 0
1743088643415142 0
1743088643415768 0
1743088643416392 0
1743088643417017 0
1743088643417643 0
1743088643418268 0
1743088643418892 0
1743088643419518 0
1743088643420142 0
1743088643420768 0
1743088643421393 0
1743088643422017 0
