timestamp,pqr_x,pqr_y,pqr_z,acc_x,acc_y,acc_z
1760390991343231,-0.001705,-0.002721,-0.002605,0.418059,-5.551410,-7.976862
1760390991343245,0.001138,0.000600,-0.000963,0.416487,-5.559421,-7.980025
1760390991343249,0.000739,-0.003117,-0.002593,0.424258,-5.535469,-7.968925
1760390991344214,0.005208,-0.000638,-0.000545,0.418037,-5.532298,-7.983360
1760390991345328,0.002750,-0.002696,-0.000965,0.394001,-5.556194,-7.954793
1760390991346284,0.001947,-0.000654,-0.000964,0.401997,-5.543474,-7.965845
1760390991347241,0.003554,0.004315,0.000243,0.403673,-5.549754,-7.965831
1760390991348213,0.000742,0.000999,-0.003036,0.414928,-5.557858,-7.986345
1760390991349197,0.000320,-0.001474,-0.001802,0.414934,-5.559422,-7.983171
1760390991350322,-0.000105,-0.001867,-0.001798,0.416425,-5.540246,-7.972167
1760390991351311,0.001171,-0.000668,-0.004242,0.410012,-5.543423,-7.965858
1760390991352274,0.003570,-0.001067,-0.001366,0.409951,-5.543407,-7.973733
1760390991353230,0.002347,0.001430,-0.002203,0.413119,-5.536948,-7.964229
1760390991354351,0.002325,0.000603,0.001070,0.411542,-5.541803,-7.961060
1760390991355332,0.000336,-0.005178,-0.000950,0.408303,-5.546535,-7.957779
1760390991356303,0.001543,0.004729,-0.003855,0.413102,-5.540182,-7.962609
1760390991357274,0.002769,-0.001873,-0.000545,0.419528,-5.546542,-7.968885
1760390991358263,-0.004555,-0.002731,-0.005104,0.414746,-5.562478,-7.962490
1760390991359221,-0.000521,-0.004355,-0.000563,0.406873,-5.556252,-7.976873
1760390991360333,0.001130,0.000606,-0.001808,0.416314,-5.540260,-7.968906
1760390991361303,-0.000901,-0.004793,-0.003832,0.419595,-5.552969,-7.968864
1760390991362274,-0.000959,0.001426,0.001873,0.408343,-5.540197,-7.973733
1760390991363243,-0.002956,0.000567,-0.003881,0.418064,-5.556180,-7.980021
1760390991364211,0.001105,0.001429,0.001462,0.411505,-5.541796,-7.972099
1760390991365187,0.001151,-0.000661,-0.002612,0.403573,-5.554643,-7.970517
1760390991366303,0.000732,0.000188,-0.002622,0.406766,-5.527443,-7.976996
1760390991367266,-0.003774,-0.000248,-0.001827,0.421222,-5.556243,-7.984776
1760390991368240,-0.000562,-0.003908,0.001873,0.416452,-5.548292,-7.978523
1760390991369210,0.001514,-0.000229,-0.001390,0.413232,-5.544950,-7.967431
1760390991370190,0.001989,-0.001467,-0.003826,0.413305,-5.560973,-7.979959
1760390991371319,0.000320,-0.001871,-0.002206,0.419724,-5.554606,-7.986377
1760390991372291,-0.000106,-0.002282,0.000253,0.422826,-5.544999,-7.978448
1760390991373246,-0.000920,-0.001466,-0.000154,0.417938,-5.538589,-7.973716
1760390991374210,-0.000504,-0.002698,-0.001385,0.422793,-5.549769,-7.965734
1760390991375193,0.001123,-0.003928,-0.002200,0.398846,-5.540262,-7.962790
