monotonic_us,timestamp_us,lat,lon,alt,roll,pitch,yaw,vel_x,vel_y,vel_z
181,1761935969380660,0.000000000,0.000000000,0.000,1.421799,0.065441,-0.907570,0.000000,0.000000,0.000000
223,1761935969380703,0.000000000,0.000000000,0.000,1.421801,0.065440,-0.907579,0.000000,0.000000,0.000000
3673,1761935969384152,0.000000000,0.000000000,0.000,1.421805,0.065435,-0.907572,0.000000,0.000000,0.000000
10601,1761935969391081,0.000000000,0.000000000,0.000,1.421818,0.065439,-0.907572,0.000000,0.000000,0.000000
17698,1761935969398177,0.000000000,0.000000000,0.000,1.421812,0.065441,-0.907571,0.000000,0.000000,0.000000
24625,1761935969405104,0.000000000,0.000000000,0.000,1.421814,0.065435,-0.907574,0.000000,0.000000,0.000000
31730,1761935969412209,0.000000000,0.000000000,0.000,1.421825,0.065437,-0.907573,0.000000,0.000000,0.000000
38635,1761935969419114,0.000000000,0.000000000,0.000,1.421827,0.065433,-0.907571,0.000000,0.000000,0.000000
45625,1761935969426104,0.000000000,0.000000000,0.000,1.421838,0.065436,-0.907554,0.000000,0.000000,0.000000
52694,1761935969433173,0.000000000,0.000000000,0.000,1.421846,0.065437,-0.907557,0.000000,0.000000,0.000000
59635,1761935969440114,0.000000000,0.000000000,0.000,1.421842,0.065445,-0.907561,0.000000,0.000000,0.000000
66678,1761935969447157,0.000000000,0.000000000,0.000,1.421845,0.065448,-0.907568,0.000000,0.000000,0.000000
73768,1761935969454247,0.000000000,0.000000000,0.000,1.421848,0.065449,-0.907556,0.000000,0.000000,0.000000
80719,1761935969461198,0.000000000,0.000000000,0.000,1.421853,0.065443,-0.907553,0.000000,0.000000,0.000000
87721,1761935969468200,0.000000000,0.000000000,0.000,1.421845,0.065438,-0.907547,0.000000,0.000000,0.000000
94636,1761935969475115,0.000000000,0.000000000,0.000,1.421846,0.065433,-0.907551,0.000000,0.000000,0.000000
101724,1761935969482204,0.000000000,0.000000000,0.000,1.421858,0.065434,-0.907547,0.000000,0.000000,0.000000
108611,1761935969489090,0.000000000,0.000000000,0.000,1.421860,0.065432,-0.907542,0.000000,0.000000,0.000000
115714,1761935969496193,0.000000000,0.000000000,0.000,1.421866,0.065436,-0.907536,0.000000,0.000000,0.000000
122647,1761935969503126,0.000000000,0.000000000,0.000,1.421854,0.065434,-0.907530,0.000000,0.000000,0.000000
129653,1761935969510132,0.000000000,0.000000000,0.000,1.421854,0.065430,-0.907527,0.000000,0.000000,0.000000
136574,1761935969517053,0.000000000,0.000000000,0.000,1.421856,0.065439,-0.907536,0.000000,0.000000,0.000000
143700,1761935969524179,0.000000000,0.000000000,0.000,1.421847,0.065442,-0.907524,0.000000,0.000000,0.000000
150637,1761935969531116,0.000000000,0.000000000,0.000,1.421847,0.065440,-0.907520,0.000000,0.000000,0.000000
157604,1761935969538083,0.000000000,0.000000000,0.000,1.421849,0.065438,-0.907525,0.000000,0.000000,0.000000
164659,1761935969545138,0.000000000,0.000000000,0.000,1.421848,0.065442,-0.907529,0.000000,0.000000,0.000000
171595,1761935969552075,0.000000000,0.000000000,0.000,1.421834,0.065429,-0.907531,0.000000,0.000000,0.000000
178658,1761935969559137,0.000000000,0.000000000,0.000,1.421824,0.065428,-0.907532,0.000000,0.000000,0.000000
185642,1761935969566122,0.000000000,0.000000000,0.000,1.421829,0.065440,-0.907517,0.000000,0.000000,0.000000
192650,1761935969573129,0.000000000,0.000000000,0.000,1.421830,0.065432,-0.907511,0.000000,0.000000,0.000000
199591,1761935969580070,0.000000000,0.000000000,0.000,1.421849,0.065437,-0.907506,0.000000,0.000000,0.000000
206678,1761935969587157,0.000000000,0.000000000,0.000,1.421848,0.065445,-0.907500,0.000000,0.000000,0.000000
213768,1761935969594247,0.000000000,0.000000000,0.000,1.421861,0.065448,-0.907497,0.000000,0.000000,0.000000
220618,1761935969601097,0.000000000,0.000000000,0.000,1.421860,0.065445,-0.907502,0.000000,0.000000,0.000000
227579,1761935969608058,0.000000000,0.000000000,0.000,1.421855,0.065444,-0.907499,0.000000,0.000000,0.000000
234640,1761935969615119,0.000000000,0.000000000,0.000,1.421856,0.065447,-0.907510,0.000000,0.000000,0.000000
241635,1761935969622114,0.000000000,0.000000000,0.000,1.421852,0.065439,-0.907494,0.000000,0.000000,0.000000
248573,1761935969629052,0.000000000,0.000000000,0.000,1.421859,0.065437,-0.907497,0.000000,0.000000,0.000000
255665,1761935969636144,0.000000000,0.000000000,0.000,1.421866,0.065424,-0.907490,0.000000,0.000000,0.000000
262584,1761935969643064,0.000000000,0.000000000,0.000,1.421876,0.065430,-0.907493,0.000000,0.000000,0.000000
269577,1761935969650057,0.000000000,0.000000000,0.000,1.421871,0.065422,-0.907499,0.000000,0.000000,0.000000
276720,1761935969657199,0.000000000,0.000000000,0.000,1.421872,0.065419,-0.907501,0.000000,0.000000,0.000000
283686,1761935969664165,0.000000000,0.000000000,0.000,1.421871,0.065423,-0.907497,0.000000,0.000000,0.000000
290687,1761935969671167,0.000000000,0.000000000,0.000,1.421865,0.065433,-0.907503,0.000000,0.000000,0.000000
297684,1761935969678163,0.000000000,0.000000000,0.000,1.421858,0.065436,-0.907497,0.000000,0.000000,0.000000
304601,1761935969685081,0.000000000,0.000000000,0.000,1.421855,0.065435,-0.907501,0.000000,0.000000,0.000000
311656,1761935969692135,0.000000000,0.000000000,0.000,1.421863,0.065449,-0.907490,0.000000,0.000000,0.000000
318709,1761935969699188,0.000000000,0.000000000,0.000,1.421863,0.065452,-0.907489,0.000000,0.000000,0.000000
325633,1761935969706112,0.000000000,0.000000000,0.000,1.421881,0.065446,-0.907477,0.000000,0.000000,0.000000
332637,1761935969713116,0.000000000,0.000000000,0.000,1.421890,0.065441,-0.907473,0.000000,0.000000,0.000000
339599,1761935969720079,0.000000000,0.000000000,0.000,1.421895,0.065450,-0.907471,0.000000,0.000000,0.000000
346591,1761935969727070,0.000000000,0.000000000,0.000,1.421898,0.065462,-0.907466,0.000000,0.000000,0.000000
353679,1761935969734158,0.000000000,0.000000000,0.000,1.421890,0.065461,-0.907460,0.000000,0.000000,0.000000
360605,1761935969741084,0.000000000,0.000000000,0.000,1.421896,0.065461,-0.907459,0.000000,0.000000,0.000000
367650,1761935969748129,0.000000000,0.000000000,0.000,1.421888,0.065464,-0.907450,0.000000,0.000000,0.000000
374728,1761935969755207,0.000000000,0.000000000,0.000,1.421884,0.065466,-0.907455,0.000000,0.000000,0.000000
381678,1761935969762158,0.000000000,0.000000000,0.000,1.421882,0.065463,-0.907447,0.000000,0.000000,0.000000
388616,1761935969769095,0.000000000,0.000000000,0.000,1.421881,0.065468,-0.907439,0.000000,0.000000,0.000000
