monotonic_us,timestamp_us,lat_deg,lon_deg,week,timeOfWeek_s,insStatus,hdwStatus,alt_m,roll_rad,pitch_rad,yaw_rad,vel_U_m_s,vel_V_m_s,vel_W_m_s,ned_N_m,ned_E_m,ned_D_m
206,1763331362412446,0.000000000,0.000000000,1,215462.656346,329745,33554432,0.000,1.403001,0.018706,-1.016918,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
272,1763331362412513,0.000000000,0.000000000,1,215462.663346,329745,33554432,0.000,1.403005,0.018705,-1.016915,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
3829,1763331362416071,0.000000000,0.000000000,1,215462.670346,329745,33554432,0.000,1.402994,0.018716,-1.016920,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
14086,1763331362426327,0.000000000,0.000000000,1,215462.677346,329745,33554432,0.000,1.402993,0.018715,-1.016915,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
17758,1763331362430000,0.000000000,0.000000000,1,215462.684346,329745,33554432,0.000,1.402989,0.018712,-1.016905,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
24675,1763331362436916,0.000000000,0.000000000,1,215462.691346,329745,33554432,0.000,1.402985,0.018705,-1.016909,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
31737,1763331362443978,0.000000000,0.000000000,1,215462.698346,329745,33554432,0.000,1.402975,0.018706,-1.016891,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
38705,1763331362450946,0.000000000,0.000000000,1,215462.705346,329745,33554432,0.000,1.402977,0.018713,-1.016885,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
45662,1763331362457904,0.000000000,0.000000000,1,215462.712346,329745,33554432,0.000,1.402982,0.018710,-1.016887,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
52658,1763331362464899,0.000000000,0.000000000,1,215462.719346,329745,33554432,0.000,1.402982,0.018716,-1.016886,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
59679,1763331362471921,0.000000000,0.000000000,1,215462.726346,329745,33554432,0.000,1.402976,0.018717,-1.016883,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
