monotonic_ns,timestamp_ns,time_s,status,pqr_P_rad_s,pqr_Q_rad_s,pqr_R_rad_s,acc_X_m_s2,acc_Y_m_s2,acc_Z_m_s2
335092,1763493606698504948,377706.578346,4128768,-0.000573,0.000171,-0.000575,0.375730,-9.744110,-0.801113
367314,1763493606698537189,377706.579346,4128768,0.001469,0.000204,0.000676,0.370989,-9.748923,-0.804302
387128,1763493606698557003,377706.580346,4128768,-0.000167,-0.000657,0.000279,0.377240,-9.742477,-0.793103
406499,1763493606698576355,377706.581346,4128768,-0.000139,-0.001456,-0.001378,0.367741,-9.742599,-0.799597
425888,1763493606698595744,377706.582346,4128768,0.001900,0.002241,-0.002201,0.374186,-9.756938,-0.812145
445332,1763493606698615207,377706.583346,4128768,0.002716,0.002261,-0.003017,0.372519,-9.736243,-0.812232
464684,1763493606698634540,377706.584346,4128768,0.004750,-0.002699,-0.000513,0.367577,-9.739311,-0.789963
484054,1763493606698653929,377706.585346,4128768,-0.000979,-0.001460,0.001875,0.367640,-9.747299,-0.783637
513332,1763493606698683188,377706.586346,4128768,0.001876,0.001008,0.001089,0.380489,-9.732957,-0.796374
542350,1763493606698712225,377706.587346,4128768,-0.000115,-0.001493,-0.003842,0.364557,-9.740954,-0.801212
579368,1763493606698749243,377706.588346,4128768,0.003114,-0.003520,-0.000943,0.377286,-9.744091,-0.793124
927145,1763493606699096927,377706.589346,4128768,0.001895,0.000590,-0.001374,0.383638,-9.747304,-0.796178
1916790,1763493606700086572,377706.590346,4128768,0.000655,-0.000211,0.000243,0.366127,-9.744167,-0.796366
2895768,1763493606701065568,377706.591346,4128768,0.001085,0.000575,-0.001370,0.366199,-9.749015,-0.810644
3874709,1763493606702044491,377706.592346,4128768,0.001096,-0.003918,-0.000130,0.361338,-9.755424,-0.807407
4869335,1763493606703039117,377706.593346,4128768,0.005602,-0.000248,-0.002574,0.358160,-9.752155,-0.796397
6006831,1763493606704176613,377706.594346,4128768,0.000257,0.000599,-0.002608,0.366074,-9.742587,-0.801125
6985179,1763493606705154980,377706.595346,4128768,0.001884,-0.001444,-0.000966,0.364428,-9.739357,-0.799495
7963990,1763493606706133791,377706.596346,4128768,0.001059,0.000606,0.001081,0.364536,-9.744155,-0.798009
8982968,1763493606707152769,377706.597346,4128768,0.002303,-0.000618,0.001092,0.361490,-9.753767,-0.815452
9963150,1763493606708132969,377706.598346,4128768,-0.003835,-0.001890,-0.000991,0.369258,-9.753788,-0.794693
10941609,1763493606709111429,377706.599346,4128768,-0.001015,0.000615,0.001473,0.356585,-9.741068,-0.798117
11935698,1763493606710105480,377706.600346,4128768,0.001913,0.000604,-0.001365,0.367691,-9.739412,-0.801131
12916343,1763493606711086125,377706.601346,4128768,0.000307,-0.000233,-0.004252,0.374142,-9.764973,-0.797812
