monotonic_ns,timestamp_ns,lat_deg,lon_deg,week,timeOfWeek_s,insStatus,hdwStatus,alt_m,roll_rad,pitch_rad,yaw_rad,vel_U_m_s,vel_V_m_s,vel_W_m_s,ned_N_m,ned_E_m,ned_D_m
343869,1763493606698513670,0.000000000,0.000000000,1,377706.577346,329745,33554433,0.000,1.488721,0.037585,-1.118048,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
491610,1763493606698661503,0.000000000,0.000000000,1,377706.584346,329745,33554433,0.000,1.488730,0.037582,-1.118041,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
4203411,1763493606702373193,0.000000000,0.000000000,1,377706.591346,329745,33554432,0.000,1.488736,0.037579,-1.118041,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
11112849,1763493606709282632,0.000000000,0.000000000,1,377706.598346,329745,33554432,0.000,1.488744,0.037582,-1.118038,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
18139065,1763493606716308847,0.000000000,0.000000000,1,377706.605346,329745,33554432,0.000,1.488750,0.037579,-1.118037,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
25189410,1763493606723359192,0.000000000,0.000000000,1,377706.612346,329745,33554432,0.000,1.488761,0.037581,-1.118031,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
32154015,1763493606730323797,0.000000000,0.000000000,1,377706.619346,329745,33554432,0.000,1.488761,0.037596,-1.118029,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
39189378,1763493606737359161,0.000000000,0.000000000,1,377706.626346,329745,33554432,0.000,1.488776,0.037590,-1.118016,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
46224131,1763493606744393913,0.000000000,0.000000000,1,377706.633346,329745,33554432,0.000,1.488779,0.037586,-1.118009,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
53105810,1763493606751275592,0.000000000,0.000000000,1,377706.640346,329745,33554432,0.000,1.488789,0.037587,-1.117990,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
60172007,1763493606758341789,0.000000000,0.000000000,1,377706.647346,329745,33554432,0.000,1.488777,0.037584,-1.117993,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
67219500,1763493606765389282,0.000000000,0.000000000,1,377706.654346,329745,33554432,0.000,1.488786,0.037583,-1.118000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
74110253,1763493606772280036,0.000000000,0.000000000,1,377706.661346,329745,33554432,0.000,1.488780,0.037582,-1.118007,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
81153895,1763493606779323677,0.000000000,0.000000000,1,377706.668346,329745,33554432,0.000,1.488784,0.037602,-1.118009,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
88190907,1763493606786360689,0.000000000,0.000000000,1,377706.675346,329745,33554432,0.000,1.488785,0.037607,-1.118013,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
95133919,1763493606793303701,0.000000000,0.000000000,1,377706.682346,329745,33554432,0.000,1.488786,0.037630,-1.117991,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
102198856,1763493606800368639,0.000000000,0.000000000,1,377706.689346,329745,33554432,0.000,1.488784,0.037623,-1.117986,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
109245850,1763493606807415632,0.000000000,0.000000000,1,377706.696346,329745,33554432,0.000,1.488765,0.037633,-1.117975,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
116121769,1763493606814291552,0.000000000,0.000000000,1,377706.703346,329745,33554432,0.000,1.488757,0.037627,-1.117974,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
123196077,1763493606821365878,0.000000000,0.000000000,1,377706.710346,329745,33554432,0.000,1.488749,0.037617,-1.117985,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
130174775,1763493606828344557,0.000000000,0.000000000,1,377706.717346,329745,33554432,0.000,1.488744,0.037615,-1.117995,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
137206250,1763493606835376032,0.000000000,0.000000000,1,377706.724346,329745,33554432,0.000,1.488736,0.037608,-1.117986,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
144128280,1763493606842298063,0.000000000,0.000000000,1,377706.731346,329745,33554432,0.000,1.488751,0.037611,-1.117984,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
151177162,1763493606849346945,0.000000000,0.000000000,1,377706.738346,329745,33554432,0.000,1.488755,0.037598,-1.117957,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
158070101,1763493606856239902,0.000000000,0.000000000,1,377706.745346,329745,33554432,0.000,1.488769,0.037605,-1.117956,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
165172038,1763493606863341821,0.000000000,0.000000000,1,377706.752346,329745,33554432,0.000,1.488773,0.037602,-1.117953,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
172206291,1763493606870376073,0.000000000,0.000000000,1,377706.759346,329745,33554432,0.000,1.488776,0.037598,-1.117952,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
179154173,1763493606877323956,0.000000000,0.000000000,1,377706.766346,329745,33554432,0.000,1.488781,0.037602,-1.117944,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
186193389,1763493606884363171,0.000000000,0.000000000,1,377706.773346,329745,33554432,0.000,1.488783,0.037611,-1.117943,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
193144975,1763493606891314739,0.000000000,0.000000000,1,377706.780346,329745,33554432,0.000,1.488781,0.037607,-1.117931,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
200074561,1763493606898244344,0.000000000,0.000000000,1,377706.787346,329745,33554432,0.000,1.488780,0.037607,-1.117928,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
207122518,1763493606905292300,0.000000000,0.000000000,1,377706.794346,329745,33554432,0.000,1.488788,0.037605,-1.117929,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
214177196,1763493606912346978,0.000000000,0.000000000,1,377706.801346,329745,33554432,0.000,1.488783,0.037598,-1.117930,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
221224208,1763493606919393990,0.000000000,0.000000000,1,377706.808346,329745,33554432,0.000,1.488793,0.037594,-1.117932,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
228120720,1763493606926290503,0.000000000,0.000000000,1,377706.815346,329745,33554432,0.000,1.488803,0.037595,-1.117931,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
235185362,1763493606933355162,0.000000000,0.000000000,1,377706.822346,329745,33554432,0.000,1.488823,0.037597,-1.117917,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
242075133,1763493606940244916,0.000000000,0.000000000,1,377706.829346,329745,33554432,0.000,1.488831,0.037606,-1.117911,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
249146626,1763493606947316409,0.000000000,0.000000000,1,377706.836346,329745,33554432,0.000,1.488847,0.037593,-1.117909,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
256182935,1763493606954352717,0.000000000,0.000000000,1,377706.843346,329745,33554432,0.000,1.488848,0.037603,-1.117915,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
263241668,1763493606961411451,0.000000000,0.000000000,1,377706.850346,329745,33554432,0.000,1.488830,0.037600,-1.117917,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
270165718,1763493606968335500,0.000000000,0.000000000,1,377706.857346,329745,33554432,0.000,1.488808,0.037607,-1.117928,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
277209118,1763493606975378901,0.000000000,0.000000000,1,377706.864346,329745,33554432,0.000,1.488780,0.037611,-1.117922,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
284096520,1763493606982266302,0.000000000,0.000000000,1,377706.871346,329745,33554432,0.000,1.488761,0.037610,-1.117925,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
291067698,1763493606989237481,0.000000000,0.000000000,1,377706.878346,329745,33554432,0.000,1.488747,0.037608,-1.117907,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
298110488,1763493606996280270,0.000000000,0.000000000,1,377706.885346,329745,33554432,0.000,1.488734,0.037612,-1.117912,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
305149500,1763493607003319282,0.000000000,0.000000000,1,377706.892346,329745,33554432,0.000,1.488734,0.037621,-1.117905,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
312192030,1763493607010361813,0.000000000,0.000000000,1,377706.899346,329745,33554432,0.000,1.488729,0.037627,-1.117907,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
319075876,1763493607017245640,0.000000000,0.000000000,1,377706.906346,329745,33554432,0.000,1.488704,0.037634,-1.117900,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
326110888,1763493607024280670,0.000000000,0.000000000,1,377706.913346,329745,33554432,0.000,1.488704,0.037641,-1.117901,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
333164233,1763493607031334015,0.000000000,0.000000000,1,377706.920346,329745,33554432,0.000,1.488707,0.037635,-1.117893,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
340071930,1763493607038241731,0.000000000,0.000000000,1,377706.927346,329745,33554432,0.000,1.488740,0.037627,-1.117890,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
347112127,1763493607045281910,0.000000000,0.000000000,1,377706.934346,329745,33554432,0.000,1.488776,0.037619,-1.117881,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
354152417,1763493607052322199,0.000000000,0.000000000,1,377706.941346,329745,33554432,0.000,1.488817,0.037610,-1.117871,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
361206299,1763493607059376081,0.000000000,0.000000000,1,377706.948346,329745,33554432,0.000,1.488853,0.037604,-1.117864,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
368119274,1763493607066289057,0.000000000,0.000000000,1,377706.955346,329745,33554433,0.000,1.488866,0.037600,-1.117857,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
375175694,1763493607073345476,0.000000000,0.000000000,1,377706.962346,329745,33554433,0.000,1.488877,0.037601,-1.117852,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
382080095,1763493607080249877,0.000000000,0.000000000,1,377706.969346,329745,33554433,0.000,1.488870,0.037607,-1.117868,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
389207921,1763493607087377685,0.000000000,0.000000000,1,377706.976346,329745,33554432,0.000,1.488847,0.037615,-1.117875,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
396099285,1763493607094269068,0.000000000,0.000000000,1,377706.983346,329745,33554432,0.000,1.488806,0.037625,-1.117885,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
403246463,1763493607101416264,0.000000000,0.000000000,1,377706.990346,329745,33554432,0.000,1.488774,0.037627,-1.117892,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
410164457,1763493607108334239,0.000000000,0.000000000,1,377706.997346,329745,33554432,0.000,1.488738,0.037636,-1.117898,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
417192302,1763493607115362103,0.000000000,0.000000000,1,377707.004346,329745,33554432,0.000,1.488707,0.037646,-1.117898,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
424110926,1763493607122280708,0.000000000,0.000000000,1,377707.011346,329745,33554432,0.000,1.488696,0.037641,-1.117899,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
431174678,1763493607129344479,0.000000000,0.000000000,1,377707.018346,329745,33554432,0.000,1.488677,0.037641,-1.117909,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
438197394,1763493607136367176,0.000000000,0.000000000,1,377707.025346,329745,33554432,0.000,1.488684,0.037637,-1.117913,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
445070869,1763493607143240651,0.000000000,0.000000000,1,377707.032346,329745,33554432,0.000,1.488682,0.037630,-1.117913,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
452114881,1763493607150284663,0.000000000,0.000000000,1,377707.039346,329745,33554432,0.000,1.488697,0.037625,-1.117912,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
459145374,1763493607157315157,0.000000000,0.000000000,1,377707.046346,329745,33554432,0.000,1.488730,0.037617,-1.117903,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
466195590,1763493607164365372,0.000000000,0.000000000,1,377707.053346,329745,33554433,0.000,1.488767,0.037612,-1.117894,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
473078195,1763493607171247977,0.000000000,0.000000000,1,377707.060346,329745,33554433,0.000,1.488806,0.037607,-1.117902,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000
